chromosome	start.pos	end.pos	Bf	N.BAF	sd.BAF	depth.ratio	N.ratio	sd.ratio	CNt	A	B	LPP
chr1	187485	27362892	0.498837632302542	893	0.155497396022993	1.99526501092477	1295229	7.72617890933212	4	2	2	-6.73464226764392
chr1	27373362	28465480	0.497774590269785	12	0.190323807010977	1.90701245607674	65830	5.82068986934708	4	2	2	-6.73313010536415
chr1	28473868	37616451	0.49875055801636	172	0.184603731191164	1.91948852553482	458972	6.50981612832028	4	2	2	-6.73323752562662
chr1	37616764	39284602	0.49790466358714	16	0.213589471884735	2.25696697362306	65959	6.91210576557976	6	3	3	-6.73341347748047
chr1	39287345	44412792	0.498840002759595	193	0.163762554067935	1.82409792568715	352981	6.94361774169797	4	2	2	-6.73307171207144
chr1	44649494	45561683	0.116921094219649	18	0.162239403915962	2.25475404623156	72593	6.73101910461277	4	4	0	-6.73350774339966
chr1	45566639	51825312	0.498784698850679	105	0.19864725809883	1.7526429178472	243030	6.55802776218703	4	2	2	-6.73330311820106
chr1	52020743	52415005	0.497668734771681	9	0.182564904744708	1.55203687568768	39983	5.04923857396227	4	2	2	-6.73341224594887
chr1	52477553	81991246	0.498862813612706	466	0.161941054554472	1.60736597903112	762528	6.66455701654987	4	2	2	-6.74087883614253
chr1	83883253	84929356	0.497675014631379	9	0.203372810375429	1.59750052929327	39238	5.48389162611033	4	2	2	-6.73355479613752
chr1	84952624	86743270	0.448873250551284	67	0.142346290098616	1.70900566637676	95644	6.6060500154571	7	4	3	-6.7427628938394
chr1	86784994	88969557	0.497772349014816	9	0.221924787058839	1.49917524939303	30199	6.18581735841429	4	2	2	-6.73459784934346
chr1	89009135	89583481	0.452951525671377	41	0.152661453917468	1.69543649635254	47474	6.34535549475833	9	5	4	-6.73803244321523
chr1	89593229	92324567	0.498050616386729	17	0.23033619929547	1.53375580118504	86322	5.64364927871001	4	2	2	-6.73487170479117
chr1	92605491	99715823	0.498809837596567	94	0.186012568978257	1.48418452077406	166618	6.27277676518038	4	2	2	-6.73829117351102
chr1	99717328	99892644	0.49966527174571	21	0.0403739661521771	1.35029937505067	14394	5.62158182992011	2	1	1	-6.7331649277877
chr1	100007335	100518051	0.497768447402853	10	0.193873269030169	1.54631213252374	40586	6.0053422099121	4	2	2	-6.73338103083615
chr1	100723358	111709361	0.478254365968713	196	0.144636264671364	1.84636285600309	363247	7.20238576232756	4	2	2	-6.74656199049912
chr1	111762117	114103867	0.498407078471769	32	0.220881335825662	1.77776558991499	112090	6.53233215357504	4	2	2	-6.73311198557191
chr1	114421786	115053647	0.0231677654423796	9	0.107037895677704	1.7038467779633	51479	6.66326210427122	19	19	0	-6.75323162848493
chr1	115663802	121177525	0.498828996201538	176	0.178779563897926	1.89032839453052	272008	8.85914788778227	4	2	2	-6.73307589472794
chr1	125180152	146968786	0.498417929532679	82	0.204081668607467	3.34754302677976	194038	14.2121826821031	8	4	4	-6.73310654382085
chr1	146969580	148559962	0.473140412223869	80	0.178106901034751	3.37543025571249	108999	14.7031733330313	15	8	7	-6.73457092395376
chr1	148560260	150748031	0.498255065369432	60	0.198988669012786	3.14071978038624	166995	14.9530718368697	8	4	4	-6.73308464356145
chr1	150754918	155215184	0.498851145840655	224	0.179971417182181	2.21682250606617	501173	8.47917523014536	6	3	3	-6.73381215557439
chr1	155236573	155880946	0.036756569784649	12	0.200444109190295	2.13346273138949	94240	7.05898107453579	12	12	0	-6.73918552114757
chr1	155900625	156596042	0.454438059369473	87	0.16119884499889	2.64444938786202	105488	7.95378375090847	9	5	4	-6.73393484057644
chr1	156816517	157519726	0.350595169506404	9	0.148094564383707	1.88483066759337	51560	5.45593339569363	6	4	2	-6.73766313626342
chr1	157520920	158849115	0.395541980685491	111	0.0986344752363985	1.33888926673847	123790	5.79057132313639	3	2	1	-6.74514829048611
chr1	158880142	159307555	0.497654887543591	9	0.146254914447344	1.54683881833133	26605	5.7052336405316	4	2	2	-6.73343506384627
chr1	159440427	219916010	0.382224542992776	1367	0.144292391158981	1.43930348365741	2207564	5.84393537123818	3	2	1	-6.73458642509321
chr1	219986942	220651852	-0.000862595890242068	10	0	1.35809690961559	51609	5.14233232943281	0	0	0	-Inf
chr1	220804958	248917151	0.356904806475093	630	0.141887607176882	1.27101840995367	892466	4.94957100788088	3	2	1	-6.76939682407494
chr2	154452	61186588	0.383079231696851	810	0.159312537750936	1.32563603987396	1483925	4.9271070199799	3	2	1	-6.75487902039569
chr2	61193060	62146239	0.041103814343505	14	0.15180027725872	1.37376100297488	52158	5.34300212953545	10	10	0	-6.76026809562359
chr2	62147287	89610875	0.39809903943962	447	0.162909598316808	1.47269101257561	747245	5.38139015805719	3	2	1	-6.73925094635859
chr2	89637413	91941255	0.26872861325446	38	0.144956973554489	1.93020573556073	49010	6.77156240045307	5	4	1	-6.73622063001336
chr2	94196720	191836667	0.372819388107621	1532	0.150297882233271	1.31514640643293	2671542	5.11851844802125	3	2	1	-6.77174817641403
chr2	191956102	196146132	0.0410748119143318	9	0.185491239685329	1.16233946285054	51108	4.76832260982955	6	6	0	-6.83416187271346
chr2	196222188	242114808	0.379484706844667	763	0.161883627389871	1.4709125032091	1546468	5.51812437251156	3	2	1	-6.73338479077551
chr3	319825	10049577	0.329197580490303	193	0.124107696220767	1.80822183020972	238299	6.41097913034551	4	3	1	-6.74951536212186
chr3	10064074	64146647	0.169884608348914	931	0.0978883285794995	1.37087548091643	1977940	4.89075720238617	3	3	0	-6.78166289590349
chr3	64540891	90225655	0.388433866117488	238	0.144296861034909	1.52960980975438	275940	5.33206025046441	3	2	1	-6.73462283836564
chr3	93886282	107377700	0.443282340119054	147	0.149820443583115	1.77589756815731	249461	7.27056889487846	5	3	2	-6.75497697521459
chr3	108050924	108823159	0.498076882898536	22	0.206044320243878	2.04691415675212	62501	8.76711270081596	4	2	2	-6.73314421547259
chr3	108838973	113284748	0.446548761899072	97	0.128652820896948	2.05451188378497	130076	8.88315381893363	7	4	3	-6.73907795213632
chr3	113285028	119461903	0.498460631065127	56	0.182562160735645	1.89379440308753	129868	8.4214860055747	4	2	2	-6.73310210064122
chr3	119471221	126501130	0.452647829837452	270	0.144114090615265	1.97960148750631	405997	8.02257794290415	7	4	3	-6.74796123427494
chr3	126501437	128059925	0.326999323841777	23	0.175721842717134	2.391372498707	39311	5.53910239888798	7	5	2	-6.73590577342097
chr3	128538363	129347660	0.458323524107632	29	0.126632969115452	2.83517603609768	45816	7.04745598980457	11	6	5	-6.73479774109984
chr3	129418133	130035033	0.00385784782452303	11	0.106433504635951	1.75267874878423	37357	5.1147502943934	20	20	0	-6.79581064278208
chr3	130091285	132525562	-0.00079441927261692	76	0.177458879348567	1.79926765901737	113830	6.41023862866195	13	13	0	-6.80687723537073
chr3	132538044	133764690	0.49780161305559	15	0.183237342835798	2.07817915703935	55821	7.3425415399064	4	2	2	-6.73330217893468
chr3	133805873	160102471	0.498826951573453	443	0.179824289101101	2.07636250519529	689438	7.80300983937416	4	2	2	-6.73653309469654
chr3	160153345	160696818	-0.00262818607592519	9	0	2.64191901685372	30677	8.98379527292295	0	0	0	-Inf
chr3	160696971	171726165	0.49887031554112	128	0.140976019034846	2.1808397755475	198555	8.45126563231975	6	3	3	-6.73541186037393
chr3	172247364	186854898	0.391851474970883	246	0.180603128925095	3.30405603958895	482905	11.289262044778	8	5	3	-6.73304074675036
chr3	186922204	198120733	0.383633686154611	336	0.148544064921912	3.22267352957392	363661	11.2620235870111	8	5	3	-6.73476736612773
chr4	142121	49578770	0.197121506355437	601	0.105481731364685	1.12466003648186	914243	4.52811126862005	2	2	0	-6.73608144186127
chr4	51886646	190042422	0.19122317618802	1421	0.100431898018983	1.0325129247491	2651082	4.11162035349566	2	2	0	-6.78205891745078
chr5	58123	45262955	0.391670925045574	554	0.138124305561667	1.34369715829927	825097	5.12881404691283	3	2	1	-6.7479301394226
chr5	50399214	71475727	0.498675027519163	215	0.17253228444632	1.47168208548329	422342	5.64452281021719	4	2	2	-6.75368682779106
chr5	71475866	72199214	0.498850636016638	24	0.101795190797823	1.97287604425378	32642	6.09530094501236	4	2	2	-6.73315520100153
chr5	72331030	73502841	0.498619065372767	18	0.221139510279226	1.73858885459801	32229	6.641809155294	4	2	2	-6.73311371891634
chr5	73502899	87379633	0.498888115881676	258	0.151309023758761	1.69389935047582	380251	6.61453290886761	4	2	2	-6.73452549073923
chr5	87383637	90409405	0.497877382543977	9	0.243666837665239	1.67700634851969	21830	7.55561146501008	4	2	2	-6.73337894793382
chr5	90409573	91153337	0.474415277445767	33	0.0870123859173526	1.32700055167412	49730	5.16318194226402	13	7	6	-6.76987777036713
chr5	91373565	96754279	0.498643999516753	40	0.199530962830848	1.51808429092176	95288	5.74791912369663	4	2	2	-6.73685834127249
chr5	96757307	131431342	0.498891807582976	396	0.140896865032141	1.55434263241864	556346	6.20340334061233	4	2	2	-6.74933093543824
chr5	131446307	131987821	0.498293722976519	11	0.20455632698377	1.51886220859072	28824	6.33647779306147	4	2	2	-6.73338478195478
chr5	132060983	137692340	0.498807295334634	104	0.155582055066932	1.80847632501427	203184	6.83355276902438	4	2	2	-6.73310080669862
chr5	137720226	140507646	0.498211682618495	41	0.219196489979909	2.05232776196845	176412	8.60631672182816	4	2	2	-6.73331499858053
chr5	140535173	161882746	0.498871045293229	535	0.164535634206905	1.88933589616582	877952	6.82907489827889	4	2	2	-6.73318480876386
chr5	161890764	167427775	0.49781551378265	9	0.217389499388642	1.72707955763592	26108	5.15938803195871	4	2	2	-6.73367250877666
chr5	167993250	171366854	0.498879403078572	100	0.145109458859528	1.60189828934934	132676	6.74146742785993	4	2	2	-6.7339831005292
